日期,產品,平均價(元/公斤)
111/01/01,459 草莓 進口 ,735.1
111/01/01,469 藍莓 進口 ,30.6
111/01/01,839 櫻桃 進口 ,418.2
111/01/01,919 其他 進口 ,253.4
111/01/01,C9 柑橘 進口 ,266.7
111/01/01,F9 雜柑 進口 ,324.4
111/01/01,G49 奇異果 進口 ,47.7
111/01/01,O9 梨 其他進口 ,80.3
111/01/01,S49 葡萄 無子進口 ,79.4
111/01/01,S9 葡萄 進口 ,287.5
111/01/01,X09 蘋果 其他進口 ,126.7
111/01/01,X59 蘋果 紅玉進口 ,213.3
111/01/01,X69 蘋果 富士進口 ,87.3
111/01/01,Z39 柿子 柿餅進口 ,106.3
111/01/02,459 草莓 進口 ,796.5
111/01/02,469 藍莓 進口 ,30.1
111/01/02,839 櫻桃 進口 ,380.1
111/01/02,919 其他 進口 ,74.7
111/01/02,C9 柑橘 進口 ,290.7
111/01/02,F9 雜柑 進口 ,391.0
111/01/02,G49 奇異果 進口 ,68.2
111/01/02,O9 梨 其他進口 ,72.5
111/01/02,S49 葡萄 無子進口 ,85.4
111/01/02,S9 葡萄 進口 ,163.4
111/01/02,X09 蘋果 其他進口 ,158.8
111/01/02,X69 蘋果 富士進口 ,95.8
111/01/02,Z39 柿子 柿餅進口 ,117.7
111/01/04,459 草莓 進口 ,106.7
111/01/04,469 藍莓 進口 ,94.4
111/01/04,839 櫻桃 進口 ,407.7
111/01/04,C9 柑橘 進口 ,266.7
111/01/04,F9 雜柑 進口 ,179.0
111/01/04,G49 奇異果 進口 ,49.6
111/01/04,O9 梨 其他進口 ,79.1
111/01/04,S49 葡萄 無子進口 ,102.4
111/01/04,S9 葡萄 進口 ,68.4
111/01/04,X09 蘋果 其他進口 ,154.6
111/01/04,X59 蘋果 紅玉進口 ,154.1
111/01/04,X69 蘋果 富士進口 ,69.7
111/01/04,Y39 桃子 甜桃進口 ,85.6
111/01/04,Z39 柿子 柿餅進口 ,110.7
111/01/05,459 草莓 進口 ,591.0
111/01/05,469 藍莓 進口 ,125.4
111/01/05,839 櫻桃 進口 ,368.7
111/01/05,C9 柑橘 進口 ,120.4
111/01/05,F9 雜柑 進口 ,311.1
111/01/05,G49 奇異果 進口 ,69.9
111/01/05,O9 梨 其他進口 ,66.1
111/01/05,O99 梨 西洋梨進口 ,33.3
111/01/05,S49 葡萄 無子進口 ,103.6
111/01/05,S9 葡萄 進口 ,265.7
111/01/05,X09 蘋果 其他進口 ,156.3
111/01/05,X69 蘋果 富士進口 ,90.2
111/01/05,Y39 桃子 甜桃進口 ,80.7
111/01/05,Z39 柿子 柿餅進口 ,111.0
111/01/06,459 草莓 進口 ,160.5
111/01/06,469 藍莓 進口 ,100.0
111/01/06,839 櫻桃 進口 ,322.4
111/01/06,C9 柑橘 進口 ,100.0
111/01/06,F9 雜柑 進口 ,301.5
111/01/06,G49 奇異果 進口 ,70.0
111/01/06,O9 梨 其他進口 ,68.0
111/01/06,O99 梨 西洋梨進口 ,26.7
111/01/06,S49 葡萄 無子進口 ,86.5
111/01/06,S9 葡萄 進口 ,414.2
111/01/06,X09 蘋果 其他進口 ,119.7
111/01/06,X69 蘋果 富士進口 ,116.7
111/01/06,Z39 柿子 柿餅進口 ,164.4
111/01/07,459 草莓 進口 ,712.6
111/01/07,469 藍莓 進口 ,100.0
111/01/07,839 櫻桃 進口 ,307.4
111/01/07,919 其他 進口 ,66.7
111/01/07,C9 柑橘 進口 ,205.8
111/01/07,F9 雜柑 進口 ,442.9
111/01/07,G49 奇異果 進口 ,131.4
111/01/07,O9 梨 其他進口 ,73.6
111/01/07,S49 葡萄 無子進口 ,109.9
111/01/07,S9 葡萄 進口 ,268.1
111/01/07,W9 洋香瓜 進口 ,320.0
111/01/07,X09 蘋果 其他進口 ,167.4
111/01/07,X69 蘋果 富士進口 ,90.6
111/01/07,Z39 柿子 柿餅進口 ,580.2
111/01/08,459 草莓 進口 ,647.1
111/01/08,469 藍莓 進口 ,111.1
111/01/08,839 櫻桃 進口 ,354.1
111/01/08,C9 柑橘 進口 ,212.9
111/01/08,F9 雜柑 進口 ,341.0
111/01/08,G39 酪梨 進口 ,114.2
111/01/08,G49 奇異果 進口 ,142.8
111/01/08,O9 梨 其他進口 ,94.8
111/01/08,O99 梨 西洋梨進口 ,31.1
111/01/08,S49 葡萄 無子進口 ,85.2
111/01/08,S9 葡萄 進口 ,269.6
111/01/08,W9 洋香瓜 進口 ,320.0
111/01/08,X09 蘋果 其他進口 ,159.2
111/01/08,X59 蘋果 紅玉進口 ,200.0
111/01/08,X69 蘋果 富士進口 ,95.5
111/01/08,Z39 柿子 柿餅進口 ,145.6
111/01/09,459 草莓 進口 ,592.6
111/01/09,469 藍莓 進口 ,100.0
111/01/09,839 櫻桃 進口 ,387.3
111/01/09,C9 柑橘 進口 ,229.6
111/01/09,F9 雜柑 進口 ,305.7
111/01/09,G39 酪梨 進口 ,106.7
111/01/09,G49 奇異果 進口 ,118.4
111/01/09,O9 梨 其他進口 ,82.2
111/01/09,S49 葡萄 無子進口 ,66.7
111/01/09,S9 葡萄 進口 ,234.8
111/01/09,X09 蘋果 其他進口 ,164.5
111/01/09,X59 蘋果 紅玉進口 ,208.4
111/01/09,X69 蘋果 富士進口 ,126.3
111/01/09,Z39 柿子 柿餅進口 ,160.8
111/01/11,459 草莓 進口 ,512.8
111/01/11,469 藍莓 進口 ,125.6
111/01/11,839 櫻桃 進口 ,299.0
111/01/11,919 其他 進口 ,66.7
111/01/11,C9 柑橘 進口 ,243.1
111/01/11,F9 雜柑 進口 ,357.0
111/01/11,G39 酪梨 進口 ,71.6
111/01/11,G49 奇異果 進口 ,49.1
111/01/11,O9 梨 其他進口 ,106.8
111/01/11,S49 葡萄 無子進口 ,87.4
111/01/11,S9 葡萄 進口 ,89.0
111/01/11,W9 洋香瓜 進口 ,293.4
111/01/11,X09 蘋果 其他進口 ,163.7
111/01/11,X69 蘋果 富士進口 ,114.7
111/01/11,Y39 桃子 甜桃進口 ,86.0
111/01/11,Z39 柿子 柿餅進口 ,183.8
111/01/12,459 草莓 進口 ,367.7
111/01/12,839 櫻桃 進口 ,263.5
111/01/12,C9 柑橘 進口 ,196.2
111/01/12,F9 雜柑 進口 ,531.2
111/01/12,G49 奇異果 進口 ,86.5
111/01/12,O9 梨 其他進口 ,73.8
111/01/12,S49 葡萄 無子進口 ,58.3
111/01/12,S9 葡萄 進口 ,94.1
111/01/12,W9 洋香瓜 進口 ,280.0
111/01/12,X09 蘋果 其他進口 ,174.3
111/01/12,X59 蘋果 紅玉進口 ,186.7
111/01/12,X69 蘋果 富士進口 ,110.2
111/01/12,Y39 桃子 甜桃進口 ,46.7
111/01/12,Z39 柿子 柿餅進口 ,126.5
111/01/14,459 草莓 進口 ,645.8
111/01/14,469 藍莓 進口 ,100.0
111/01/14,839 櫻桃 進口 ,297.6
111/01/14,919 其他 進口 ,253.3
111/01/14,C9 柑橘 進口 ,217.5
111/01/14,F9 雜柑 進口 ,389.8
111/01/14,G49 奇異果 進口 ,72.7
111/01/14,O9 梨 其他進口 ,80.4
111/01/14,O99 梨 西洋梨進口 ,20.0
111/01/14,S49 葡萄 無子進口 ,120.8
111/01/14,S9 葡萄 進口 ,480.4
111/01/14,W9 洋香瓜 進口 ,390.5
111/01/14,X09 蘋果 其他進口 ,163.7
111/01/14,X69 蘋果 富士進口 ,106.0
111/01/14,Y9 桃子 進口 ,162.7
111/01/14,Z39 柿子 柿餅進口 ,620.2
111/01/15,459 草莓 進口 ,565.6
111/01/15,469 藍莓 進口 ,100.0
111/01/15,839 櫻桃 進口 ,284.1
111/01/15,C9 柑橘 進口 ,238.4
111/01/15,F9 雜柑 進口 ,362.2
111/01/15,G39 酪梨 進口 ,106.7
111/01/15,G49 奇異果 進口 ,116.2
111/01/15,O9 梨 其他進口 ,68.1
111/01/15,S49 葡萄 無子進口 ,98.0
111/01/15,S9 葡萄 進口 ,100.2
111/01/15,W9 洋香瓜 進口 ,395.0
111/01/15,X09 蘋果 其他進口 ,169.7
111/01/15,X59 蘋果 紅玉進口 ,200.6
111/01/15,X69 蘋果 富士進口 ,130.0
111/01/15,Z39 柿子 柿餅進口 ,122.9
111/01/16,459 草莓 進口 ,497.2
111/01/16,469 藍莓 進口 ,110.0
111/01/16,839 櫻桃 進口 ,263.8
111/01/16,919 其他 進口 ,253.3
111/01/16,C9 柑橘 進口 ,272.3
111/01/16,F9 雜柑 進口 ,349.7
111/01/16,G39 酪梨 進口 ,106.7
111/01/16,G49 奇異果 進口 ,97.7
111/01/16,O9 梨 其他進口 ,84.7
111/01/16,S49 葡萄 無子進口 ,81.1
111/01/16,S9 葡萄 進口 ,198.1
111/01/16,X09 蘋果 其他進口 ,160.3
111/01/16,X69 蘋果 富士進口 ,107.7
111/01/16,Z39 柿子 柿餅進口 ,168.1
111/01/18,459 草莓 進口 ,144.1
111/01/18,469 藍莓 進口 ,100.0
111/01/18,839 櫻桃 進口 ,240.9
111/01/18,C9 柑橘 進口 ,296.3
111/01/18,F9 雜柑 進口 ,400.9
111/01/18,G49 奇異果 進口 ,73.0
111/01/18,O9 梨 其他進口 ,63.8
111/01/18,O99 梨 西洋梨進口 ,26.7
111/01/18,S49 葡萄 無子進口 ,90.2
111/01/18,S9 葡萄 進口 ,93.6
111/01/18,W9 洋香瓜 進口 ,278.5
111/01/18,X09 蘋果 其他進口 ,159.7
111/01/18,X69 蘋果 富士進口 ,118.4
111/01/18,Z39 柿子 柿餅進口 ,120.0
111/01/19,459 草莓 進口 ,221.4
111/01/19,469 藍莓 進口 ,100.0
111/01/19,839 櫻桃 進口 ,259.4
111/01/19,C9 柑橘 進口 ,266.7
111/01/19,E9 甜橙 進口 ,31.1
111/01/19,F9 雜柑 進口 ,237.3
111/01/19,G49 奇異果 進口 ,97.9
111/01/19,O9 梨 其他進口 ,77.7
111/01/19,S49 葡萄 無子進口 ,58.3
111/01/19,S9 葡萄 進口 ,603.9
111/01/19,X09 蘋果 其他進口 ,144.3
111/01/19,X69 蘋果 富士進口 ,100.2
111/01/19,Z39 柿子 柿餅進口 ,118.1
111/01/20,459 草莓 進口 ,628.4
111/01/20,469 藍莓 進口 ,111.6
111/01/20,839 櫻桃 進口 ,279.9
111/01/20,C9 柑橘 進口 ,224.3
111/01/20,F9 雜柑 進口 ,279.3
111/01/20,G39 酪梨 進口 ,104.4
111/01/20,G49 奇異果 進口 ,67.4
111/01/20,O9 梨 其他進口 ,95.7
111/01/20,S49 葡萄 無子進口 ,120.8
111/01/20,S9 葡萄 進口 ,261.2
111/01/20,W9 洋香瓜 進口 ,374.4
111/01/20,X09 蘋果 其他進口 ,158.2
111/01/20,X59 蘋果 紅玉進口 ,204.2
111/01/20,X69 蘋果 富士進口 ,128.2
111/01/20,Z39 柿子 柿餅進口 ,506.1
111/01/21,459 草莓 進口 ,281.9
111/01/21,469 藍莓 進口 ,100.0
111/01/21,839 櫻桃 進口 ,257.0
111/01/21,C9 柑橘 進口 ,382.2
111/01/21,F9 雜柑 進口 ,268.8
111/01/21,G49 奇異果 進口 ,132.0
111/01/21,O9 梨 其他進口 ,67.8
111/01/21,S49 葡萄 無子進口 ,111.1
111/01/21,S9 葡萄 進口 ,227.0
111/01/21,W9 洋香瓜 進口 ,504.8
111/01/21,X09 蘋果 其他進口 ,168.4
111/01/21,X39 蘋果 惠進口 ,46.7
111/01/21,X59 蘋果 紅玉進口 ,213.3
111/01/21,X69 蘋果 富士進口 ,131.3
111/01/21,Z39 柿子 柿餅進口 ,120.0
111/01/22,459 草莓 進口 ,253.6
111/01/22,469 藍莓 進口 ,88.6
111/01/22,839 櫻桃 進口 ,226.3
111/01/22,C9 柑橘 進口 ,347.8
111/01/22,F9 雜柑 進口 ,282.4
111/01/22,O9 梨 其他進口 ,69.5
111/01/22,S49 葡萄 無子進口 ,127.8
111/01/22,S9 葡萄 進口 ,81.0
111/01/22,X09 蘋果 其他進口 ,174.8
111/01/22,X59 蘋果 紅玉進口 ,206.8
111/01/22,X69 蘋果 富士進口 ,99.7
111/01/22,Z39 柿子 柿餅進口 ,149.3
111/01/23,459 草莓 進口 ,170.6
111/01/23,839 櫻桃 進口 ,228.7
111/01/23,C9 柑橘 進口 ,221.0
111/01/23,F9 雜柑 進口 ,283.6
111/01/23,G49 奇異果 進口 ,99.8
111/01/23,O9 梨 其他進口 ,85.1
111/01/23,S49 葡萄 無子進口 ,92.4
111/01/23,S9 葡萄 進口 ,293.8
111/01/23,W9 洋香瓜 進口 ,321.8
111/01/23,X09 蘋果 其他進口 ,152.2
111/01/23,X59 蘋果 紅玉進口 ,213.3
111/01/23,X69 蘋果 富士進口 ,109.6
111/01/23,Z39 柿子 柿餅進口 ,109.2
111/01/25,459 草莓 進口 ,176.8
111/01/25,469 藍莓 進口 ,100.0
111/01/25,839 櫻桃 進口 ,345.7
111/01/25,C9 柑橘 進口 ,232.3
111/01/25,F9 雜柑 進口 ,338.0
111/01/25,G49 奇異果 進口 ,73.5
111/01/25,O9 梨 其他進口 ,80.2
111/01/25,S49 葡萄 無子進口 ,91.7
111/01/25,S9 葡萄 進口 ,201.4
111/01/25,W9 洋香瓜 進口 ,300.9
111/01/25,X09 蘋果 其他進口 ,160.8
111/01/25,X39 蘋果 惠進口 ,40.0
111/01/25,X59 蘋果 紅玉進口 ,208.2
111/01/25,X69 蘋果 富士進口 ,107.3
111/01/25,Z39 柿子 柿餅進口 ,135.5
111/01/26,459 草莓 進口 ,591.8
111/01/26,469 藍莓 進口 ,100.0
111/01/26,839 櫻桃 進口 ,285.5
111/01/26,C9 柑橘 進口 ,409.9
111/01/26,F9 雜柑 進口 ,541.9
111/01/26,G49 奇異果 進口 ,78.6
111/01/26,O9 梨 其他進口 ,76.2
111/01/26,S9 葡萄 進口 ,228.0
111/01/26,W9 洋香瓜 進口 ,733.3
111/01/26,X09 蘋果 其他進口 ,147.0
111/01/26,X69 蘋果 富士進口 ,94.4
111/01/26,Z39 柿子 柿餅進口 ,500.5
111/01/27,459 草莓 進口 ,227.0
111/01/27,469 藍莓 進口 ,208.3
111/01/27,839 櫻桃 進口 ,155.6
111/01/27,C9 柑橘 進口 ,237.3
111/01/27,E9 甜橙 進口 ,33.3
111/01/27,F9 雜柑 進口 ,345.2
111/01/27,G49 奇異果 進口 ,64.0
111/01/27,O9 梨 其他進口 ,69.0
111/01/27,S9 葡萄 進口 ,242.8
111/01/27,X09 蘋果 其他進口 ,146.7
111/01/27,X59 蘋果 紅玉進口 ,171.6
111/01/27,X69 蘋果 富士進口 ,78.5
111/01/27,Y39 桃子 甜桃進口 ,75.2
111/01/27,Z39 柿子 柿餅進口 ,100.0
111/01/28,459 草莓 進口 ,169.2
111/01/28,469 藍莓 進口 ,101.7
111/01/28,839 櫻桃 進口 ,179.1
111/01/28,919 其他 進口 ,113.8
111/01/28,C9 柑橘 進口 ,335.2
111/01/28,F9 雜柑 進口 ,333.9
111/01/28,G49 奇異果 進口 ,83.3
111/01/28,O9 梨 其他進口 ,86.9
111/01/28,S9 葡萄 進口 ,73.2
111/01/28,W9 洋香瓜 進口 ,773.3
111/01/28,X09 蘋果 其他進口 ,156.2
111/01/28,X39 蘋果 惠進口 ,106.7
111/01/28,X59 蘋果 紅玉進口 ,160.0
111/01/28,X69 蘋果 富士進口 ,103.4
111/01/28,Y39 桃子 甜桃進口 ,115.0
111/01/28,Z39 柿子 柿餅進口 ,114.1
111/01/29,129 椰子 剝殼進口 ,17.0
111/01/29,459 草莓 進口 ,223.7
111/01/29,469 藍莓 進口 ,100.0
111/01/29,839 櫻桃 進口 ,241.7
111/01/29,919 其他 進口 ,120.0
111/01/29,C9 柑橘 進口 ,304.4
111/01/29,E9 甜橙 進口 ,27.6
111/01/29,F9 雜柑 進口 ,192.3
111/01/29,G49 奇異果 進口 ,97.5
111/01/29,O9 梨 其他進口 ,59.5
111/01/29,S49 葡萄 無子進口 ,83.3
111/01/29,S9 葡萄 進口 ,88.8
111/01/29,W9 洋香瓜 進口 ,1442.4
111/01/29,X09 蘋果 其他進口 ,146.7
111/01/29,X69 蘋果 富士進口 ,81.5
111/01/29,Z39 柿子 柿餅進口 ,175.6
111/01/30,459 草莓 進口 ,271.4
111/01/30,839 櫻桃 進口 ,159.1
111/01/30,919 其他 進口 ,240.0
111/01/30,C9 柑橘 進口 ,258.8
111/01/30,F9 雜柑 進口 ,324.3
111/01/30,G49 奇異果 進口 ,71.4
111/01/30,O9 梨 其他進口 ,70.6
111/01/30,S9 葡萄 進口 ,174.5
111/01/30,X69 蘋果 富士進口 ,88.5
111/01/30,Y39 桃子 甜桃進口 ,80.6
111/01/30,Z39 柿子 柿餅進口 ,120.0
111/01/31,459 草莓 進口 ,132.7
111/01/31,839 櫻桃 進口 ,85.8
111/01/31,C9 柑橘 進口 ,228.6
111/01/31,F9 雜柑 進口 ,254.4
111/01/31,G49 奇異果 進口 ,112.9
111/01/31,O9 梨 其他進口 ,96.6
111/01/31,S49 葡萄 無子進口 ,91.7
111/01/31,S9 葡萄 進口 ,82.6
111/01/31,X09 蘋果 其他進口 ,146.7
111/01/31,X69 蘋果 富士進口 ,99.0
111/01/31,Z39 柿子 柿餅進口 ,120.0
111/02/06,459 草莓 進口 ,148.0
111/02/06,469 藍莓 進口 ,66.7
111/02/06,839 櫻桃 進口 ,273.2
111/02/06,C9 柑橘 進口 ,304.7
111/02/06,F9 雜柑 進口 ,445.2
111/02/06,G49 奇異果 進口 ,64.7
111/02/06,O9 梨 其他進口 ,60.3
111/02/06,S49 葡萄 無子進口 ,74.6
111/02/06,S9 葡萄 進口 ,60.2
111/02/06,W9 洋香瓜 進口 ,489.0
111/02/06,X09 蘋果 其他進口 ,146.7
111/02/06,X69 蘋果 富士進口 ,59.8
111/02/06,Z39 柿子 柿餅進口 ,130.7
111/02/07,459 草莓 進口 ,227.7
111/02/07,839 櫻桃 進口 ,203.4
111/02/07,919 其他 進口 ,120.0
111/02/07,C9 柑橘 進口 ,256.0
111/02/07,F9 雜柑 進口 ,89.3
111/02/07,G39 酪梨 進口 ,133.3
111/02/07,G49 奇異果 進口 ,60.5
111/02/07,O9 梨 其他進口 ,60.5
111/02/07,S49 葡萄 無子進口 ,73.0
111/02/07,S9 葡萄 進口 ,159.3
111/02/07,W9 洋香瓜 進口 ,293.3
111/02/07,X39 蘋果 惠進口 ,40.0
111/02/07,X69 蘋果 富士進口 ,90.6
111/02/07,Z39 柿子 柿餅進口 ,120.0
111/02/08,459 草莓 進口 ,316.1
111/02/08,839 櫻桃 進口 ,257.5
111/02/08,919 其他 進口 ,193.4
111/02/08,C9 柑橘 進口 ,200.0
111/02/08,E9 甜橙 進口 ,30.0
111/02/08,F9 雜柑 進口 ,102.0
111/02/08,G49 奇異果 進口 ,78.8
111/02/08,H49 葡萄柚 紅肉進口 ,23.3
111/02/08,O9 梨 其他進口 ,58.4
111/02/08,S49 葡萄 無子進口 ,101.8
111/02/08,S9 葡萄 進口 ,150.1
111/02/08,X59 蘋果 紅玉進口 ,66.7
111/02/08,X69 蘋果 富士進口 ,66.8
111/02/11,459 草莓 進口 ,240.6
111/02/11,469 藍莓 進口 ,83.3
111/02/11,839 櫻桃 進口 ,178.6
111/02/11,C9 柑橘 進口 ,266.6
111/02/11,F9 雜柑 進口 ,305.2
111/02/11,G49 奇異果 進口 ,82.9
111/02/11,N9 李 進口 ,33.3
111/02/11,O9 梨 其他進口 ,57.8
111/02/11,S49 葡萄 無子進口 ,110.5
111/02/11,S9 葡萄 進口 ,63.7
111/02/11,X69 蘋果 富士進口 ,50.3
111/02/11,Y39 桃子 甜桃進口 ,77.1
111/02/11,Z39 柿子 柿餅進口 ,120.0
111/02/12,459 草莓 進口 ,683.9
111/02/12,469 藍莓 進口 ,100.0
111/02/12,839 櫻桃 進口 ,212.5
111/02/12,C9 柑橘 進口 ,161.9
111/02/12,F9 雜柑 進口 ,416.7
111/02/12,G49 奇異果 進口 ,67.1
111/02/12,O9 梨 其他進口 ,63.0
111/02/12,S49 葡萄 無子進口 ,66.7
111/02/12,S9 葡萄 進口 ,65.6
111/02/12,X69 蘋果 富士進口 ,65.8
111/02/12,Y39 桃子 甜桃進口 ,73.2
111/02/12,Z39 柿子 柿餅進口 ,600.0
111/02/13,459 草莓 進口 ,588.8
111/02/13,469 藍莓 進口 ,98.2
111/02/13,839 櫻桃 進口 ,203.2
111/02/13,C9 柑橘 進口 ,268.4
111/02/13,F9 雜柑 進口 ,267.6
111/02/13,G49 奇異果 進口 ,58.6
111/02/13,O9 梨 其他進口 ,66.7
111/02/13,S49 葡萄 無子進口 ,113.2
111/02/13,S9 葡萄 進口 ,66.3
111/02/13,W9 洋香瓜 進口 ,266.7
111/02/13,X69 蘋果 富士進口 ,50.4
111/02/13,Y39 桃子 甜桃進口 ,66.7
111/02/13,Z39 柿子 柿餅進口 ,600.0
111/02/14,459 草莓 進口 ,170.4
111/02/14,469 藍莓 進口 ,100.0
111/02/14,839 櫻桃 進口 ,168.2
111/02/14,C9 柑橘 進口 ,257.8
111/02/14,F9 雜柑 進口 ,253.4
111/02/14,G49 奇異果 進口 ,71.2
111/02/14,O9 梨 其他進口 ,60.2
111/02/14,S49 葡萄 無子進口 ,88.9
111/02/14,S9 葡萄 進口 ,79.2
111/02/14,X69 蘋果 富士進口 ,40.7
111/02/14,Y39 桃子 甜桃進口 ,56.0
111/02/14,Z39 柿子 柿餅進口 ,120.0
111/02/15,459 草莓 進口 ,333.3
111/02/15,839 櫻桃 進口 ,109.8
111/02/15,919 其他 進口 ,66.7
111/02/15,F9 雜柑 進口 ,333.3
111/02/15,G49 奇異果 進口 ,60.2
111/02/15,O9 梨 其他進口 ,52.4
111/02/15,S49 葡萄 無子進口 ,87.3
111/02/15,S9 葡萄 進口 ,87.9
111/02/15,X69 蘋果 富士進口 ,51.8
111/02/15,Y39 桃子 甜桃進口 ,60.8
111/02/18,459 草莓 進口 ,267.7
111/02/18,469 藍莓 進口 ,106.9
111/02/18,839 櫻桃 進口 ,196.3
111/02/18,919 其他 進口 ,253.4
111/02/18,E9 甜橙 進口 ,30.0
111/02/18,F9 雜柑 進口 ,274.6
111/02/18,G49 奇異果 進口 ,82.6
111/02/18,O9 梨 其他進口 ,62.1
111/02/18,O99 梨 西洋梨進口 ,73.9
111/02/18,S49 葡萄 無子進口 ,108.3
111/02/18,S9 葡萄 進口 ,86.3
111/02/18,X69 蘋果 富士進口 ,62.5
111/02/18,Y39 桃子 甜桃進口 ,50.1
111/02/19,459 草莓 進口 ,154.6
111/02/19,469 藍莓 進口 ,103.0
111/02/19,839 櫻桃 進口 ,101.3
111/02/19,919 其他 進口 ,253.3
111/02/19,C9 柑橘 進口 ,204.4
111/02/19,F9 雜柑 進口 ,240.0
111/02/19,G49 奇異果 進口 ,51.8
111/02/19,N9 李 進口 ,186.7
111/02/19,O9 梨 其他進口 ,63.4
111/02/19,S49 葡萄 無子進口 ,119.7
111/02/19,S9 葡萄 進口 ,71.7
111/02/19,W9 洋香瓜 進口 ,240.0
111/02/19,X69 蘋果 富士進口 ,57.9
111/02/19,Y39 桃子 甜桃進口 ,51.3
111/02/19,Z39 柿子 柿餅進口 ,101.0
111/02/20,459 草莓 進口 ,165.8
111/02/20,839 櫻桃 進口 ,133.9
111/02/20,919 其他 進口 ,130.2
111/02/20,C9 柑橘 進口 ,209.5
111/02/20,F9 雜柑 進口 ,193.8
111/02/20,G49 奇異果 進口 ,76.5
111/02/20,N9 李 進口 ,160.0
111/02/20,S49 葡萄 無子進口 ,60.0
111/02/20,S9 葡萄 進口 ,151.1
111/02/20,W9 洋香瓜 進口 ,213.3
111/02/20,X69 蘋果 富士進口 ,61.4
111/02/20,Z39 柿子 柿餅進口 ,120.0
111/02/22,459 草莓 進口 ,120.4
111/02/22,469 藍莓 進口 ,92.9
111/02/22,839 櫻桃 進口 ,130.5
111/02/22,C9 柑橘 進口 ,236.6
111/02/22,E9 甜橙 進口 ,30.8
111/02/22,F9 雜柑 進口 ,186.7
111/02/22,G49 奇異果 進口 ,145.8
111/02/22,N9 李 進口 ,46.2
111/02/22,O9 梨 其他進口 ,61.6
111/02/22,S49 葡萄 無子進口 ,116.7
111/02/22,S9 葡萄 進口 ,140.0
111/02/22,W9 洋香瓜 進口 ,233.4
111/02/22,X69 蘋果 富士進口 ,57.4
111/02/22,Y39 桃子 甜桃進口 ,51.2
111/02/23,459 草莓 進口 ,115.3
111/02/23,839 櫻桃 進口 ,163.0
111/02/23,919 其他 進口 ,154.2
111/02/23,C9 柑橘 進口 ,168.9
111/02/23,F9 雜柑 進口 ,271.3
111/02/23,G49 奇異果 進口 ,48.6
111/02/23,N9 李 進口 ,186.7
111/02/23,O9 梨 其他進口 ,60.0
111/02/23,S49 葡萄 無子進口 ,88.7
111/02/23,S9 葡萄 進口 ,135.2
111/02/23,X69 蘋果 富士進口 ,68.1
111/02/23,Y39 桃子 甜桃進口 ,57.1
111/02/23,Z39 柿子 柿餅進口 ,120.0
111/02/24,459 草莓 進口 ,405.9
111/02/24,469 藍莓 進口 ,100.0
111/02/24,839 櫻桃 進口 ,93.3
111/02/24,C9 柑橘 進口 ,258.0
111/02/24,F9 雜柑 進口 ,201.9
111/02/24,G49 奇異果 進口 ,153.4
111/02/24,S49 葡萄 無子進口 ,90.3
111/02/24,S9 葡萄 進口 ,56.2
111/02/24,W9 洋香瓜 進口 ,240.0
111/02/24,X09 蘋果 其他進口 ,24.9
111/02/24,X69 蘋果 富士進口 ,61.2
111/02/24,Y39 桃子 甜桃進口 ,38.0
111/02/24,Z39 柿子 柿餅進口 ,513.4
111/02/25,459 草莓 進口 ,430.7
111/02/25,839 櫻桃 進口 ,86.8
111/02/25,919 其他 進口 ,29.9
111/02/25,C9 柑橘 進口 ,172.8
111/02/25,F9 雜柑 進口 ,280.0
111/02/25,G49 奇異果 進口 ,59.5
111/02/25,O9 梨 其他進口 ,52.9
111/02/25,S49 葡萄 無子進口 ,68.5
111/02/25,S9 葡萄 進口 ,62.6
111/02/25,X69 蘋果 富士進口 ,63.5
111/02/25,Y39 桃子 甜桃進口 ,56.1
111/02/25,Z39 柿子 柿餅進口 ,533.3
111/02/26,459 草莓 進口 ,270.2
111/02/26,469 藍莓 進口 ,83.3
111/02/26,839 櫻桃 進口 ,127.7
111/02/26,919 其他 進口 ,200.0
111/02/26,C9 柑橘 進口 ,146.1
111/02/26,F9 雜柑 進口 ,249.3
111/02/26,G49 奇異果 進口 ,53.8
111/02/26,N9 李 進口 ,50.0
111/02/26,S49 葡萄 無子進口 ,93.7
111/02/26,S9 葡萄 進口 ,119.4
111/02/26,X69 蘋果 富士進口 ,49.3
111/02/26,Y39 桃子 甜桃進口 ,44.5
111/02/26,Z39 柿子 柿餅進口 ,106.7
111/02/27,459 草莓 進口 ,445.1
111/02/27,469 藍莓 進口 ,66.7
111/02/27,839 櫻桃 進口 ,72.0
111/02/27,919 其他 進口 ,120.0
111/02/27,C9 柑橘 進口 ,255.1
111/02/27,F9 雜柑 進口 ,274.5
111/02/27,G49 奇異果 進口 ,61.8
111/02/27,O9 梨 其他進口 ,63.0
111/02/27,S49 葡萄 無子進口 ,100.9
111/02/27,S9 葡萄 進口 ,84.5
111/02/27,X69 蘋果 富士進口 ,47.2
111/02/27,Y39 桃子 甜桃進口 ,42.4
111/02/27,Z39 柿子 柿餅進口 ,166.7
111/03/01,459 草莓 進口 ,541.2
111/03/01,839 櫻桃 進口 ,83.9
111/03/01,919 其他 進口 ,46.7
111/03/01,C9 柑橘 進口 ,330.6
111/03/01,E9 甜橙 進口 ,26.7
111/03/01,F9 雜柑 進口 ,340.7
111/03/01,G49 奇異果 進口 ,87.5
111/03/01,H49 葡萄柚 紅肉進口 ,33.3
