cid,tid,vid,號次,名字,政黨代號,性別,出生日期,年齡,出生地,學歷,現任,當選註記,副手,名稱,政黨名稱
63_000_00,63_000_00_010,63_000_00_010_0002,1,劉美鳳,1,2,0330617,74,臺北市,高中(職)以下,Y,*,NA,莊敬里,中國國民黨
63_000_00,63_000_00_010,63_000_00_010_0002,2,阮忠恕,999,1,0501010,57,臺北市,高中,N,NA,NA,莊敬里,無黨籍及未經政黨推薦
63_000_00,63_000_00_010,63_000_00_010_0002,3,許中華,999,1,0560922,51,新北市,高中(職)以下,N,NA,NA,莊敬里,無黨籍及未經政黨推薦
63_000_00,63_000_00_010,63_000_00_010_0003,1,潘美珠,999,2,0610620,46,臺灣省,專科,N,NA,NA,東榮里,無黨籍及未經政黨推薦
63_000_00,63_000_00_010,63_000_00_010_0003,2,陳大業,999,1,0610517,46,高雄市,專科,N,NA,NA,東榮里,無黨籍及未經政黨推薦
63_000_00,63_000_00_010,63_000_00_010_0003,3,鄭玉梅,999,2,0400507,67,臺灣省,高中,Y,*,NA,東榮里,無黨籍及未經政黨推薦
63_000_00,63_000_00_010,63_000_00_010_0004,1,謝翠鈴,1,2,0430812,64,臺灣省,專科,Y,*,NA,三民里,中國國民黨
63_000_00,63_000_00_010,63_000_00_010_0005,1,吳美貞,1,2,0350928,72,臺北市,高中(職)以下,Y,*,NA,新益里,中國國民黨
63_000_00,63_000_00_010,63_000_00_010_0005,2,許芷芸,310,2,0641007,43,新北市,碩士,N,NA,NA,新益里,青年陽光黨
63_000_00,63_000_00_010,63_000_00_010_0005,3,林寶錢,999,1,0440511,63,臺灣省,高中(職)以下,N,NA,NA,新益里,無黨籍及未經政黨推薦
63_000_00,63_000_00_010,63_000_00_010_0006,1,李煥中,1,1,0560131,51,高雄市,碩士,N,*,NA,富錦里,中國國民黨
63_000_00,63_000_00_010,63_000_00_010_0006,2,江雪花,1,2,0411019,66,臺灣省,專科,N,NA,NA,富錦里,中國國民黨
63_000_00,63_000_00_010,63_000_00_010_0007,1,華國雄,1,1,0480522,59,新北市,高中(職)以下,Y,*,NA,新東里,中國國民黨
63_000_00,63_000_00_010,63_000_00_010_0008,1,吳學毅,1,1,0490101,58,臺北市,高中,Y,*,NA,富泰里,中國國民黨
63_000_00,63_000_00_010,63_000_00_010_0009,1,林玉琴,999,2,0410917,66,臺北市,高中,Y,NA,NA,介壽里,無黨籍及未經政黨推薦
63_000_00,63_000_00_010,63_000_00_010_0009,2,林妤潔,98,2,0690716,38,其他,專科,N,NA,NA,介壽里,中華民族致公黨
63_000_00,63_000_00_010,63_000_00_010_0009,3,蔡錦文,999,1,0360814,71,臺灣省,大學,N,*,NA,介壽里,無黨籍及未經政黨推薦
63_000_00,63_000_00_010,63_000_00_010_0010,1,廖世雄,999,1,0570405,50,高雄市,碩士,N,NA,NA,精忠里,無黨籍及未經政黨推薦
63_000_00,63_000_00_010,63_000_00_010_0010,2,賴美旭,1,2,0591026,48,臺灣省,專科,N,*,NA,精忠里,中國國民黨
63_000_00,63_000_00_010,63_000_00_010_0011,1,蔡友謙,999,1,0691016,38,臺北市,高中,N,NA,NA,東光里,無黨籍及未經政黨推薦
63_000_00,63_000_00_010,63_000_00_010_0011,2,馮乙洋,999,1,0690207,38,臺北市,大學,N,NA,NA,東光里,無黨籍及未經政黨推薦
63_000_00,63_000_00_010,63_000_00_010_0011,3,許秀雲,1,2,0391010,68,臺北市,高中(職)以下,Y,*,NA,東光里,中國國民黨
63_000_00,63_000_00_010,63_000_00_010_0012,1,袁俊麒,1,1,0410828,66,臺北市,大學,Y,*,NA,龍田里,中國國民黨
63_000_00,63_000_00_010,63_000_00_010_0012,2,蔡甯甯,999,2,0571015,50,臺灣省,高中,N,NA,NA,龍田里,無黨籍及未經政黨推薦
63_000_00,63_000_00_010,63_000_00_010_0012,3,陳偉,999,1,0781013,29,臺北市,大學,N,NA,NA,龍田里,無黨籍及未經政黨推薦
63_000_00,63_000_00_010,63_000_00_010_0013,1,陳志明,1,1,0500408,57,臺北市,高中,Y,*,NA,東昌里,中國國民黨
63_000_00,63_000_00_010,63_000_00_010_0013,2,葉劍南,999,1,0580124,49,臺北市,高中,N,NA,NA,東昌里,無黨籍及未經政黨推薦
63_000_00,63_000_00_010,63_000_00_010_0014,1,王叔珍,999,2,0460810,61,臺灣省,大學,Y,*,NA,東勢里,無黨籍及未經政黨推薦
63_000_00,63_000_00_010,63_000_00_010_0015,1,游吉興,1,1,0561127,50,臺中市,高中,Y,*,NA,中華里,中國國民黨
63_000_00,63_000_00_010,63_000_00_010_0016,1,江永華,16,1,0350107,72,臺北市,大學,Y,*,NA,民有里,民主進步黨
63_000_00,63_000_00_010,63_000_00_010_0017,1,古瑞珍,1,2,0450301,62,桃園市,大學,Y,*,NA,民福里,中國國民黨
63_000_00,63_000_00_010,63_000_00_010_0017,2,李大強,999,1,0441230,62,臺北市,專科,N,NA,NA,民福里,無黨籍及未經政黨推薦
63_000_00,63_000_00_010,63_000_00_010_0018,1,李祖民,999,1,0541115,53,臺北市,專科,Y,*,NA,慈祐里,無黨籍及未經政黨推薦
63_000_00,63_000_00_010,63_000_00_010_0019,1,洪温滿,999,1,0460201,61,臺灣省,專科,Y,*,NA,安平里,無黨籍及未經政黨推薦
63_000_00,63_000_00_010,63_000_00_010_0020,1,許顏建,1,1,0491102,58,新北市,高中,Y,*,NA,鵬程里,中國國民黨
63_000_00,63_000_00_010,63_000_00_010_0021,1,魏振康,999,1,0530628,54,臺北市,高中,N,NA,NA,自強里,無黨籍及未經政黨推薦
63_000_00,63_000_00_010,63_000_00_010_0021,2,李台華,1,1,0391118,68,臺北市,大學,Y,*,NA,自強里,中國國民黨
63_000_00,63_000_00_010,63_000_00_010_0022,1,楊承濂,999,1,0510120,56,臺北市,專科,N,NA,NA,吉祥里,無黨籍及未經政黨推薦
63_000_00,63_000_00_010,63_000_00_010_0022,2,張智强,98,1,0711026,36,臺北市,大學,N,NA,NA,吉祥里,中華民族致公黨
63_000_00,63_000_00_010,63_000_00_010_0022,3,陳永昌,1,1,0350516,72,臺南市,高中,Y,*,NA,吉祥里,中國國民黨
63_000_00,63_000_00_010,63_000_00_010_0022,4,黃嬌英,16,2,0490923,58,臺灣省,高中(職)以下,N,NA,NA,吉祥里,民主進步黨
63_000_00,63_000_00_010,63_000_00_010_0024,1,郭秀鳳,1,2,0431126,63,臺灣省,高中(職)以下,Y,*,NA,新聚里,中國國民黨
63_000_00,63_000_00_010,63_000_00_010_0024,2,黃建豐,16,1,0470206,60,臺灣省,高中,N,NA,NA,新聚里,民主進步黨
63_000_00,63_000_00_010,63_000_00_010_0025,1,王正雄,1,1,0380221,69,臺北市,高中(職)以下,Y,*,NA,復盛里,中國國民黨
63_000_00,63_000_00_010,63_000_00_010_0025,2,陳連吟,999,1,0340206,73,臺灣省,高中,N,NA,NA,復盛里,無黨籍及未經政黨推薦
63_000_00,63_000_00_010,63_000_00_010_0026,1,洪樸陽,999,1,0470127,60,臺北市,專科,N,*,NA,中正里,無黨籍及未經政黨推薦
63_000_00,63_000_00_010,63_000_00_010_0026,2,方禎璋,999,1,0440224,63,臺北市,博士,N,NA,NA,中正里,無黨籍及未經政黨推薦
63_000_00,63_000_00_010,63_000_00_010_0027,1,張陳碧雲,1,2,0311208,75,臺北市,高中(職)以下,Y,*,NA,中崙里,中國國民黨
63_000_00,63_000_00_010,63_000_00_010_0028,1,林志創,1,1,0520417,55,臺北市,高中,Y,*,NA,美仁里,中國國民黨
63_000_00,63_000_00_010,63_000_00_010_0028,2,張正龍,999,1,0521025,55,臺中市,高中,N,NA,NA,美仁里,無黨籍及未經政黨推薦
63_000_00,63_000_00_010,63_000_00_010_0029,1,王志堅,1,1,0450716,62,臺北市,高中,N,NA,NA,吉仁里,中國國民黨
63_000_00,63_000_00_010,63_000_00_010_0029,2,徐正秋,999,2,0411003,66,臺北市,高中,N,NA,NA,吉仁里,無黨籍及未經政黨推薦
63_000_00,63_000_00_010,63_000_00_010_0029,3,林美蓉,999,2,0471029,60,臺灣省,高中,N,NA,NA,吉仁里,無黨籍及未經政黨推薦
63_000_00,63_000_00_010,63_000_00_010_0029,4,李全長,999,1,0520326,55,臺北市,高中,N,*,NA,吉仁里,無黨籍及未經政黨推薦
63_000_00,63_000_00_010,63_000_00_010_0030,1,吳文惠,999,2,0540713,53,其他,高中,Y,NA,NA,敦化里,無黨籍及未經政黨推薦
63_000_00,63_000_00_010,63_000_00_010_0030,2,黃文佳,310,2,0641005,43,臺北市,碩士,N,NA,NA,敦化里,青年陽光黨
63_000_00,63_000_00_010,63_000_00_010_0030,3,蘇榮文,1,1,0470826,60,高雄市,高中,N,*,NA,敦化里,中國國民黨
63_000_00,63_000_00_010,63_000_00_010_0031,1,温福義,1,1,0460620,61,桃園市,高中,Y,*,NA,復源里,中國國民黨
63_000_00,63_000_00_010,63_000_00_010_0031,2,陳麗婉,999,2,0470803,60,臺中市,高中(職)以下,N,NA,NA,復源里,無黨籍及未經政黨推薦
63_000_00,63_000_00_010,63_000_00_010_0032,1,林坤信,1,1,0350531,72,臺灣省,大學,Y,*,NA,復建里,中國國民黨
63_000_00,63_000_00_010,63_000_00_010_0033,1,徐麗雲,1,2,0461213,60,臺灣省,專科,Y,*,NA,復勢里,中國國民黨
63_000_00,63_000_00_010,63_000_00_010_0033,2,許雪真,16,2,0510519,56,臺北市,高中,N,NA,NA,復勢里,民主進步黨
63_000_00,63_000_00_010,63_000_00_010_0034,1,葉佐良,1,1,0371018,70,桃園市,大學,N,*,NA,福成里,中國國民黨
63_000_00,63_000_00_010,63_000_00_010_0034,2,林順松,999,1,0430616,64,臺南市,大學,N,NA,NA,福成里,無黨籍及未經政黨推薦
63_000_00,63_000_00_010,63_000_00_010_0035,1,陳建智,999,1,0591223,47,臺北市,大學,N,NA,NA,松基里,無黨籍及未經政黨推薦
63_000_00,63_000_00_010,63_000_00_010_0035,2,萬榮穩,1,1,0410603,66,臺灣省,大學,N,NA,NA,松基里,中國國民黨
63_000_00,63_000_00_010,63_000_00_010_0035,3,黃建賓,999,1,0590501,48,臺北市,高中(職)以下,N,*,NA,松基里,無黨籍及未經政黨推薦
63_000_00,63_000_00_020,63_000_00_020_0001,1,馬念慈,999,1,0401001,67,臺灣省,高中,N,*,NA,西村里,無黨籍及未經政黨推薦
63_000_00,63_000_00_020,63_000_00_020_0001,2,嚴長生,1,1,0310620,76,其他,大學,Y,NA,NA,西村里,中國國民黨
63_000_00,63_000_00_020,63_000_00_020_0002,1,尹俊富,1,1,0401108,67,桃園市,高中,Y,*,NA,正和里,中國國民黨
63_000_00,63_000_00_020,63_000_00_020_0002,2,董玲娥,999,2,0510819,56,桃園市,高中,N,NA,NA,正和里,無黨籍及未經政黨推薦
63_000_00,63_000_00_020,63_000_00_020_0003,1,羅松美,1,2,0301125,76,臺灣省,高中(職)以下,Y,*,NA,興隆里,中國國民黨
63_000_00,63_000_00_020,63_000_00_020_0003,2,吉娃斯.吉果,999,2,0500312,57,新北市,大學,N,NA,NA,興隆里,無黨籍及未經政黨推薦
63_000_00,63_000_00_020,63_000_00_020_0003,3,蔣三郎,999,1,0311019,76,新北市,高中(職)以下,N,NA,NA,興隆里,無黨籍及未經政黨推薦
63_000_00,63_000_00_020,63_000_00_020_0004,1,趙惠美,999,2,0510505,56,臺北市,高中,N,*,NA,中興里,無黨籍及未經政黨推薦
63_000_00,63_000_00_020,63_000_00_020_0004,2,吳孟環,1,2,0440810,63,臺灣省,大學,N,NA,NA,中興里,中國國民黨
63_000_00,63_000_00_020,63_000_00_020_0005,1,吳建德,999,1,0621128,44,新北市,高中,Y,*,NA,新仁里,無黨籍及未經政黨推薦
63_000_00,63_000_00_020,63_000_00_020_0006,1,林素琴,1,2,0410723,66,臺灣省,高中(職)以下,Y,*,NA,興雅里,中國國民黨
63_000_00,63_000_00_020,63_000_00_020_0007,1,方聰杰,1,1,0520924,55,臺北市,高中,Y,*,NA,敦厚里,中國國民黨
63_000_00,63_000_00_020,63_000_00_020_0007,2,陳慈靜,999,2,0641014,43,臺北市,專科,N,NA,NA,敦厚里,無黨籍及未經政黨推薦
63_000_00,63_000_00_020,63_000_00_020_0008,1,楊玉堂,1,1,0491022,58,臺灣省,高中,Y,*,NA,廣居里,中國國民黨
63_000_00,63_000_00_020,63_000_00_020_0009,1,劉廖玉葉,999,2,0350410,72,臺北市,高中(職)以下,N,NA,NA,安康里,無黨籍及未經政黨推薦
63_000_00,63_000_00_020,63_000_00_020_0009,2,萬宇恆,1,1,0691011,38,臺北市,大學,Y,*,NA,安康里,中國國民黨
63_000_00,63_000_00_020,63_000_00_020_0009,3,吳水上,999,1,0370927,70,臺灣省,高中(職)以下,N,NA,NA,安康里,無黨籍及未經政黨推薦
63_000_00,63_000_00_020,63_000_00_020_0010,1,丁禾溱,1,2,0480427,59,臺北市,高中,Y,*,NA,六藝里,中國國民黨
63_000_00,63_000_00_020,63_000_00_020_0011,1,黃純風,1,1,0360106,71,臺灣省,高中(職)以下,Y,NA,NA,雅祥里,中國國民黨
63_000_00,63_000_00_020,63_000_00_020_0011,2,高添喜,999,1,0381101,69,臺北市,高中,N,*,NA,雅祥里,無黨籍及未經政黨推薦
63_000_00,63_000_00_020,63_000_00_020_0011,3,林信介,999,1,0650316,42,臺北市,專科,N,NA,NA,雅祥里,無黨籍及未經政黨推薦
63_000_00,63_000_00_020,63_000_00_020_0012,1,黃河村,1,1,0391220,67,新北市,高中,Y,*,NA,五常里,中國國民黨
63_000_00,63_000_00_020,63_000_00_020_0013,1,吳秀好,16,2,0410415,66,高雄市,大學,Y,*,NA,五全里,民主進步黨
63_000_00,63_000_00_020,63_000_00_020_0014,1,陳永昌,1,1,0401110,67,臺灣省,高中,Y,*,NA,永吉里,中國國民黨
63_000_00,63_000_00_020,63_000_00_020_0015,1,潘厚勳,16,1,0700416,37,臺北市,高中,Y,NA,NA,長春里,民主進步黨
63_000_00,63_000_00_020,63_000_00_020_0015,2,許錦忠,999,1,0460428,61,臺灣省,高中(職)以下,N,*,NA,長春里,無黨籍及未經政黨推薦
63_000_00,63_000_00_020,63_000_00_020_0016,1,連圀堂,1,1,0460415,61,臺北市,高中,Y,*,NA,四育里,中國國民黨
63_000_00,63_000_00_020,63_000_00_020_0016,2,林哲慶,999,1,0600122,47,臺北市,高中,N,NA,NA,四育里,無黨籍及未經政黨推薦
63_000_00,63_000_00_020,63_000_00_020_0017,1,劉耀平,1,1,0590816,48,桃園市,高中(職)以下,Y,*,NA,四維里,中國國民黨
63_000_00,63_000_00_020,63_000_00_020_0018,1,許蕙蘭,1,2,0541219,52,臺灣省,高中,N,*,NA,永春里,中國國民黨
63_000_00,63_000_00_020,63_000_00_020_0018,2,彭賴秀琴,16,2,0440424,63,臺灣省,高中(職)以下,Y,NA,NA,永春里,民主進步黨
63_000_00,63_000_00_020,63_000_00_020_0018,3,顏東隆,999,1,0400107,67,臺北市,碩士,N,NA,NA,永春里,無黨籍及未經政黨推薦
63_000_00,63_000_00_020,63_000_00_020_0019,1,陳國華,1,1,0420307,65,臺北市,高中,Y,*,NA,富台里,中國國民黨
63_000_00,63_000_00_020,63_000_00_020_0020,1,張雲娥,1,2,0500924,57,新北市,高中,Y,NA,NA,國業里,中國國民黨
63_000_00,63_000_00_020,63_000_00_020_0020,2,林銘賢,999,1,0511005,56,桃園市,專科,N,*,NA,國業里,無黨籍及未經政黨推薦
63_000_00,63_000_00_020,63_000_00_020_0021,1,黃俊龍,1,1,0340315,73,臺北市,高中,Y,*,NA,松隆里,中國國民黨
63_000_00,63_000_00_020,63_000_00_020_0021,2,羅丹,310,1,0811111,26,臺北市,大學,N,NA,NA,松隆里,青年陽光黨
63_000_00,63_000_00_020,63_000_00_020_0022,1,桑再益,999,1,0380830,69,新北市,高中(職)以下,N,NA,NA,松友里,無黨籍及未經政黨推薦
63_000_00,63_000_00_020,63_000_00_020_0022,2,張海秋,999,1,0431216,63,臺灣省,專科,Y,*,NA,松友里,無黨籍及未經政黨推薦
63_000_00,63_000_00_020,63_000_00_020_0022,3,劉榮之,1,1,0661212,40,臺北市,專科,N,NA,NA,松友里,中國國民黨
63_000_00,63_000_00_020,63_000_00_020_0023,1,蔡福來,999,1,0460724,61,臺北市,專科,Y,*,NA,松光里,無黨籍及未經政黨推薦
63_000_00,63_000_00_020,63_000_00_020_0023,2,賴秀絨,999,2,0500202,57,臺中市,高中,N,NA,NA,松光里,無黨籍及未經政黨推薦
63_000_00,63_000_00_020,63_000_00_020_0024,1,曾傳達,1,1,0361010,71,桃園市,高中(職)以下,Y,*,NA,中坡里,中國國民黨
63_000_00,63_000_00_020,63_000_00_020_0025,1,黃銓政,1,1,0390517,68,臺灣省,高中(職)以下,N,NA,NA,中行里,中國國民黨
63_000_00,63_000_00_020,63_000_00_020_0025,2,林美君,999,2,0681027,39,臺北市,大學,Y,*,NA,中行里,無黨籍及未經政黨推薦
63_000_00,63_000_00_020,63_000_00_020_0026,1,謝美右,999,2,0530614,54,臺灣省,高中,N,NA,NA,大道里,無黨籍及未經政黨推薦
63_000_00,63_000_00_020,63_000_00_020_0026,2,毛水月,999,2,0550112,52,臺南市,高中,N,*,NA,大道里,無黨籍及未經政黨推薦
63_000_00,63_000_00_020,63_000_00_020_0027,1,何福來,999,1,0431118,64,新北市,高中,N,NA,NA,大仁里,無黨籍及未經政黨推薦
63_000_00,63_000_00_020,63_000_00_020_0027,2,蔡桂清,999,1,0450424,62,臺北市,大學,Y,*,NA,大仁里,無黨籍及未經政黨推薦
63_000_00,63_000_00_020,63_000_00_020_0028,1,張天智,1,1,0350928,72,臺北市,高中,Y,NA,NA,景新里,中國國民黨
63_000_00,63_000_00_020,63_000_00_020_0028,2,孫積德,999,1,0730705,34,臺北市,大學,N,*,NA,景新里,無黨籍及未經政黨推薦
63_000_00,63_000_00_020,63_000_00_020_0029,1,高木蘭,999,2,0510817,56,臺北市,大學,N,NA,NA,惠安里,無黨籍及未經政黨推薦
63_000_00,63_000_00_020,63_000_00_020_0029,2,周葉長,1,1,0510104,56,臺北市,高中(職)以下,Y,*,NA,惠安里,中國國民黨
63_000_00,63_000_00_020,63_000_00_020_0029,3,王小桃,310,2,0630220,44,其他,高中,N,NA,NA,惠安里,青年陽光黨
63_000_00,63_000_00_020,63_000_00_020_0030,1,傅裕隆,999,1,0540313,53,臺灣省,大學,N,NA,NA,三張里,無黨籍及未經政黨推薦
63_000_00,63_000_00_020,63_000_00_020_0030,2,譚文銘,999,1,0530226,54,臺北市,大學,N,NA,NA,三張里,無黨籍及未經政黨推薦
63_000_00,63_000_00_020,63_000_00_020_0030,3,李伯壽,1,1,0360216,71,臺灣省,高中(職)以下,Y,*,NA,三張里,中國國民黨
63_000_00,63_000_00_020,63_000_00_020_0031,1,翁信利,999,1,0480305,59,臺灣省,大學,Y,*,NA,三犁里,無黨籍及未經政黨推薦
63_000_00,63_000_00_020,63_000_00_020_0032,1,全宏強,1,1,0570127,50,臺北市,大學,Y,NA,NA,六合里,中國國民黨
63_000_00,63_000_00_020,63_000_00_020_0032,2,陳盈如,999,2,0720302,35,臺北市,高中,N,*,NA,六合里,無黨籍及未經政黨推薦
63_000_00,63_000_00_020,63_000_00_020_0033,1,袁羅生,999,1,0470517,60,臺灣省,碩士,N,NA,NA,泰和里,無黨籍及未經政黨推薦
63_000_00,63_000_00_020,63_000_00_020_0033,2,林正義,1,1,0520706,55,臺北市,高中,Y,*,NA,泰和里,中國國民黨
63_000_00,63_000_00_020,63_000_00_020_0033,3,郭英雀,999,2,0490601,58,臺灣省,高中,N,NA,NA,泰和里,無黨籍及未經政黨推薦
63_000_00,63_000_00_020,63_000_00_020_0034,1,洪福周,1,1,0380801,69,臺灣省,其他,Y,*,NA,景聯里,中國國民黨
63_000_00,63_000_00_020,63_000_00_020_0035,1,賴惠貞,1,2,0510120,56,臺灣省,高中,Y,*,NA,景勤里,中國國民黨
63_000_00,63_000_00_020,63_000_00_020_0035,2,林春生,999,1,0430505,64,臺灣省,高中,N,NA,NA,景勤里,無黨籍及未經政黨推薦
63_000_00,63_000_00_020,63_000_00_020_0035,3,陳燦楹,999,1,0411110,66,新北市,高中,N,NA,NA,景勤里,無黨籍及未經政黨推薦
63_000_00,63_000_00_020,63_000_00_020_0035,4,劉麗湘,999,2,0470801,60,臺北市,高中,N,NA,NA,景勤里,無黨籍及未經政黨推薦
63_000_00,63_000_00_020,63_000_00_020_0035,5,王雷凱,999,1,0771128,29,桃園市,大學,N,NA,NA,景勤里,無黨籍及未經政黨推薦
63_000_00,63_000_00_020,63_000_00_020_0036,1,宋祥輝,1,1,0420215,65,高雄市,專科,Y,*,NA,雙和里,中國國民黨
63_000_00,63_000_00_020,63_000_00_020_0036,2,黃清文,999,1,0550515,52,臺灣省,高中,N,NA,NA,雙和里,無黨籍及未經政黨推薦
63_000_00,63_000_00_020,63_000_00_020_0037,1,李錫榮,1,1,0440227,63,臺北市,專科,Y,NA,NA,嘉興里,中國國民黨
63_000_00,63_000_00_020,63_000_00_020_0037,2,鄭智耀,999,1,0620410,45,臺北市,碩士,N,*,NA,嘉興里,無黨籍及未經政黨推薦
63_000_00,63_000_00_020,63_000_00_020_0038,1,吳明耀,999,1,0500909,57,臺灣省,專科,Y,NA,NA,黎順里,無黨籍及未經政黨推薦
63_000_00,63_000_00_020,63_000_00_020_0038,2,潘還珠,999,2,0511001,56,臺北市,大學,N,NA,NA,黎順里,無黨籍及未經政黨推薦
63_000_00,63_000_00_020,63_000_00_020_0038,3,許嫈嬉,999,2,0430202,64,臺灣省,高中,N,NA,NA,黎順里,無黨籍及未經政黨推薦
63_000_00,63_000_00_020,63_000_00_020_0038,4,鄭振榮,999,1,0570820,50,臺北市,專科,N,NA,NA,黎順里,無黨籍及未經政黨推薦
63_000_00,63_000_00_020,63_000_00_020_0038,5,周金進,999,1,0480320,59,臺北市,高中,N,NA,NA,黎順里,無黨籍及未經政黨推薦
63_000_00,63_000_00_020,63_000_00_020_0038,6,卓秀娟,1,2,0440314,63,臺中市,大學,N,*,NA,黎順里,中國國民黨
63_000_00,63_000_00_020,63_000_00_020_0039,1,楊介舟,1,1,0550605,52,臺北市,專科,Y,*,NA,黎平里,中國國民黨
63_000_00,63_000_00_020,63_000_00_020_0039,2,徐桂森,999,1,0591102,48,臺灣省,專科,N,NA,NA,黎平里,無黨籍及未經政黨推薦
63_000_00,63_000_00_020,63_000_00_020_0040,1,黃種釧,999,1,0420901,65,臺北市,高中,Y,*,NA,黎忠里,無黨籍及未經政黨推薦
63_000_00,63_000_00_020,63_000_00_020_0041,1,劉梅菊,1,2,0490522,58,臺北市,大學,Y,*,NA,黎安里,中國國民黨
63_000_00,63_000_00_030,63_000_00_030_0001,1,郭權立,999,1,0671020,40,臺北市,高中,N,NA,NA,德安里,無黨籍及未經政黨推薦
63_000_00,63_000_00_030,63_000_00_030_0001,2,何西就,1,1,0250124,82,臺中市,碩士,Y,NA,NA,德安里,中國國民黨
63_000_00,63_000_00_030,63_000_00_030_0001,3,蔡銘宗,999,1,0390610,68,臺灣省,碩士,N,*,NA,德安里,無黨籍及未經政黨推薦
63_000_00,63_000_00_030,63_000_00_030_0002,1,林維德,999,1,0540217,53,臺北市,專科,N,NA,NA,仁慈里,無黨籍及未經政黨推薦
63_000_00,63_000_00_030,63_000_00_030_0002,2,陳麒中,1,1,0571128,49,臺灣省,碩士,N,*,NA,仁慈里,中國國民黨
63_000_00,63_000_00_030,63_000_00_030_0002,3,楊瑞庭,999,1,0390824,68,其他,大學,N,NA,NA,仁慈里,無黨籍及未經政黨推薦
63_000_00,63_000_00_030,63_000_00_030_0003,1,張維真,1,2,0570110,50,臺北市,高中,N,NA,NA,和安里,中國國民黨
63_000_00,63_000_00_030,63_000_00_030_0003,2,翁德東,999,1,0471011,60,臺灣省,高中(職)以下,N,*,NA,和安里,無黨籍及未經政黨推薦
63_000_00,63_000_00_030,63_000_00_030_0004,1,范秋慧,999,2,0510209,56,臺北市,高中(職)以下,N,NA,NA,民炤里,無黨籍及未經政黨推薦
63_000_00,63_000_00_030,63_000_00_030_0004,2,周暉泰,1,1,0670421,40,臺灣省,碩士,N,*,NA,民炤里,中國國民黨
63_000_00,63_000_00_030,63_000_00_030_0004,3,陳勤功,999,1,0460604,61,臺北市,專科,Y,NA,NA,民炤里,無黨籍及未經政黨推薦
63_000_00,63_000_00_030,63_000_00_030_0005,1,林宜蓁,999,2,0530131,54,臺北市,碩士,N,NA,NA,仁愛里,無黨籍及未經政黨推薦
63_000_00,63_000_00_030,63_000_00_030_0005,2,鄭秀郎,1,1,0410215,66,臺中市,高中,Y,*,NA,仁愛里,中國國民黨
63_000_00,63_000_00_030,63_000_00_030_0006,1,潘明勲,1,1,0410107,66,臺灣省,高中(職)以下,Y,*,NA,義村里,中國國民黨
63_000_00,63_000_00_030,63_000_00_030_0007,1,陳彥儒,999,1,0700321,37,臺北市,大學,N,NA,NA,民輝里,無黨籍及未經政黨推薦
63_000_00,63_000_00_030,63_000_00_030_0007,2,陳威禎,999,1,0530824,54,臺灣省,大學,Y,*,NA,民輝里,無黨籍及未經政黨推薦
63_000_00,63_000_00_030,63_000_00_030_0007,3,劉修融,999,2,0790608,28,臺北市,大學,N,NA,NA,民輝里,無黨籍及未經政黨推薦
63_000_00,63_000_00_030,63_000_00_030_0008,1,王志剛,1,1,0550905,52,臺北市,高中,Y,*,NA,昌隆里,中國國民黨
63_000_00,63_000_00_030,63_000_00_030_0008,2,孫運嘉,999,1,0840315,23,臺北市,大學,N,NA,NA,昌隆里,無黨籍及未經政黨推薦
63_000_00,63_000_00_030,63_000_00_030_0009,1,李有福,999,1,0461025,61,新北市,高中,Y,*,NA,誠安里,無黨籍及未經政黨推薦
63_000_00,63_000_00_030,63_000_00_030_0010,1,宋林素蓮,1,2,0410827,66,臺灣省,高中(職)以下,Y,NA,NA,光武里,中國國民黨
63_000_00,63_000_00_030,63_000_00_030_0010,2,韓修和,999,1,0650726,42,臺灣省,高中,N,*,NA,光武里,無黨籍及未經政黨推薦
63_000_00,63_000_00_030,63_000_00_030_0011,1,黃世詮,1,1,0570417,50,臺北市,高中,Y,*,NA,龍坡里,中國國民黨
63_000_00,63_000_00_030,63_000_00_030_0012,1,龎維良,999,1,0631225,43,臺北市,碩士,Y,*,NA,龍泉里,無黨籍及未經政黨推薦
63_000_00,63_000_00_030,63_000_00_030_0013,1,彭仁鈺,999,1,0540322,53,臺北市,專科,N,NA,NA,古風里,無黨籍及未經政黨推薦
63_000_00,63_000_00_030,63_000_00_030_0013,2,孔憲娟,1,2,0500120,57,臺北市,專科,Y,*,NA,古風里,中國國民黨
63_000_00,63_000_00_030,63_000_00_030_0014,1,劉泓麟,1,1,0591231,47,臺北市,高中,Y,*,NA,古莊里,中國國民黨
63_000_00,63_000_00_030,63_000_00_030_0014,2,吳宗雄,999,1,0510301,56,新北市,高中,N,NA,NA,古莊里,無黨籍及未經政黨推薦
63_000_00,63_000_00_030,63_000_00_030_0015,1,洪秋甲,1,1,0450922,62,臺北市,專科,Y,*,NA,龍安里,中國國民黨
63_000_00,63_000_00_030,63_000_00_030_0016,1,龔志慧,1,2,0440505,63,臺北市,高中,Y,*,NA,錦安里,中國國民黨
63_000_00,63_000_00_030,63_000_00_030_0017,1,李欣芠,999,2,0431010,64,臺北市,專科,Y,*,NA,福住里,無黨籍及未經政黨推薦
63_000_00,63_000_00_030,63_000_00_030_0018,1,張耀文,1,1,0570419,50,臺北市,專科,N,NA,NA,永康里,中國國民黨
63_000_00,63_000_00_030,63_000_00_030_0018,2,李明螢,999,2,0491010,58,臺灣省,專科,N,*,NA,永康里,無黨籍及未經政黨推薦
